Java HotSpot(TM) 64-Bit Server VM (25.121-b13) for linux-amd64 JRE (1.8.0_121-b13), built on Dec 12 2016 16:36:53 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 11996028k(4074840k free), swap 15637500k(14405960k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxGCPauseMillis=500 -XX:MaxHeapSize=2147483648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:ThreadStackSize=512 -XX:+UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelOldGC 
2017-05-07T20:21:44.942+0800: 0.423: [GC (Allocation Failure) [PSYoungGen: 524800K->5113K(611840K)] 524800K->5121K(2010112K), 0.0036664 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:45.174+0800: 0.655: [GC (Allocation Failure) [PSYoungGen: 529913K->5045K(611840K)] 529921K->5053K(2010112K), 0.0036686 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:45.307+0800: 0.788: [GC (Allocation Failure) [PSYoungGen: 529845K->5087K(611840K)] 529853K->5095K(2010112K), 0.0028939 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:45.496+0800: 0.978: [GC (Allocation Failure) [PSYoungGen: 529887K->5039K(611840K)] 529895K->5047K(2010112K), 0.0021395 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:45.641+0800: 1.122: [GC (Allocation Failure) [PSYoungGen: 529839K->5081K(611840K)] 529847K->5089K(2010112K), 0.0030630 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:45.783+0800: 1.264: [GC (Allocation Failure) [PSYoungGen: 529841K->4986K(693248K)] 529849K->4994K(2091520K), 0.0050051 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
2017-05-07T20:21:46.014+0800: 1.495: [GC (Allocation Failure) [PSYoungGen: 692602K->445K(688128K)] 692610K->5184K(2086400K), 0.0065957 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:46.199+0800: 1.680: [GC (Allocation Failure) [PSYoungGen: 688061K->360K(691200K)] 692800K->5107K(2089472K), 0.0012304 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
